Player 1,Player 2,Stat Name,Player 1 Stat,Player 2 Stat
"QUAN, R.","FRIEND, J.",General,"FRIEND, J.",73/164 (45%)
"QUAN, R.","FRIEND, J.",Total Points Won,91/164 (55%),0
"QUAN, R.","FRIEND, J.",Short Rally,(0-4),0
"QUAN, R.","FRIEND, J.",0,0,Long Rally
"QUAN, R.","FRIEND, J.",0,0,Long Rally
"QUAN, R.","FRIEND, J.",(9+),0,0
"QUAN, R.","FRIEND, J.",Winners,1,0
"QUAN, R.","FRIEND, J.",Forced Errors,0,2
"QUAN, R.","FRIEND, J.",Unforced Errors,5,-2
"QUAN, R.","FRIEND, J.",Aggressive Margin,-4,"QUAN, R."
"QUAN, R.","FRIEND, J.",Serve,"FRIEND, J.",0
"QUAN, R.","FRIEND, J.",Aces,1,2
"QUAN, R.","FRIEND, J.",Double Faults,5,61/80 (76%)
"QUAN, R.","FRIEND, J.",1st Serve %,58/84 (69%),32/61 (52%)
"QUAN, R.","FRIEND, J.",1st Serve Points Won,41/58 (71%),9/19 (47%)
"QUAN, R.","FRIEND, J.",2nd Serve Points Won,11/26 (42%),41/80 (51%)
"QUAN, R.","FRIEND, J.",Total Serve Points Won,52/84 (62%),"QUAN, R."
"QUAN, R.","FRIEND, J.",Return,"FRIEND, J.",0/79 (0%)
"QUAN, R.","FRIEND, J.",Returns Made,0/78 (0%),17/58 (29%)
"QUAN, R.","FRIEND, J.",1st Serve Return Points Won,29/61 (48%),15/26 (58%)
"QUAN, R.","FRIEND, J.",2nd Serve Return Points Won,10/19 (53%),32/84 (38%)
"QUAN, R.","FRIEND, J.",Total Return Points Won,39/80 (49%),3/11 (27%)
"QUAN, R.","FRIEND, J.",Break Points Won,7/11 (64%),
